source_schema	source_table	source_column	target_schema	target_table	target_column	declaration_kind	declaration_paths
perf	weekly_meeting_report	prepared_by_employee_id	hr	employee	employee_id	explicit	app/models/people/perf/weekly_meeting_report.py:137
perf	weekly_meeting_report	prepared_by_person_id	public	people	id	explicit	app/models/people/perf/weekly_meeting_report.py:142
perf	weekly_meeting_report	submitted_by_id	public	people	id	explicit	app/models/people/perf/weekly_meeting_report.py:171
perf	weekly_meeting_report	updated_by_id	public	people	id	mixin_expansion	app/models/people/perf/weekly_meeting_report.py:81 via app/models/people/base.py:66
pm	milestone	created_by_id	public	people	id	mixin_expansion	app/models/pm/milestone.py:43 via app/models/people/base.py:61
pm	milestone	updated_by_id	public	people	id	mixin_expansion	app/models/pm/milestone.py:43 via app/models/people/base.py:66
pm	pm_comment	author_id	public	people	id	explicit	app/models/pm/comment.py:104
pm	resource_allocation	created_by_id	public	people	id	mixin_expansion	app/models/pm/resource_allocation.py:34 via app/models/people/base.py:61
pm	resource_allocation	employee_id	hr	employee	employee_id	explicit	app/models/pm/resource_allocation.py:74
pm	resource_allocation	updated_by_id	public	people	id	mixin_expansion	app/models/pm/resource_allocation.py:34 via app/models/people/base.py:66
pm	task	assigned_to_id	hr	employee	employee_id	explicit	app/models/pm/task.py:140
pm	task	created_by_id	public	people	id	mixin_expansion	app/models/pm/task.py:64 via app/models/people/base.py:61
pm	task	updated_by_id	public	people	id	mixin_expansion	app/models/pm/task.py:64 via app/models/people/base.py:66
pm	time_entry	created_by_id	public	people	id	mixin_expansion	app/models/pm/time_entry.py:45 via app/models/people/base.py:61
pm	time_entry	employee_id	hr	employee	employee_id	explicit	app/models/pm/time_entry.py:88
pm	time_entry	updated_by_id	public	people	id	mixin_expansion	app/models/pm/time_entry.py:45 via app/models/people/base.py:66
public	api_keys	person_id	public	people	id	explicit	app/models/auth.py:236
public	audit_events	actor_person_id	public	people	id	explicit	app/models/audit.py:42
public	batch_operations	started_by_id	public	people	id	explicit	app/models/batch_operation.py:104
public	device_token	person_id	public	people	id	explicit	app/models/notification.py:259
public	domain_setting_history	changed_by_id	public	people	id	explicit	app/models/domain_settings.py:315
public	email_profile	created_by_id	public	people	id	explicit	app/models/email_profile.py:182
public	feature_flag_registry	created_by_id	public	people	id	explicit	app/models/feature_flag.py:115
public	federated_identities	person_id	public	people	id	explicit	app/models/auth.py:133
public	help_article_feedback	person_id	public	people	id	explicit	app/models/help/models.py:180
public	help_article_override	owner_id	public	people	id	explicit	app/models/help/models.py:97
public	help_search_event	person_id	public	people	id	explicit	app/models/help/models.py:220
public	help_user_progress	person_id	public	people	id	explicit	app/models/help/models.py:144
public	mfa_methods	person_id	public	people	id	explicit	app/models/auth.py:171
public	notification	actor_id	public	people	id	explicit	app/models/notification.py:194
public	notification	recipient_id	public	people	id	explicit	app/models/notification.py:122
public	person_roles	person_id	public	people	id	explicit	app/models/rbac.py:95
public	sessions	person_id	public	people	id	explicit	app/models/auth.py:209
public	user_credentials	person_id	public	people	id	explicit	app/models/auth.py:69
public	workflow_task	assignee_employee_id	hr	employee	employee_id	explicit	app/models/workflow_task.py:65
recruit	interview	created_by_id	public	people	id	mixin_expansion	app/models/people/recruit/interview.py:57 via app/models/people/base.py:61
recruit	interview	interviewer_id	hr	employee	employee_id	explicit	app/models/people/recruit/interview.py:135
recruit	interview	updated_by_id	public	people	id	mixin_expansion	app/models/people/recruit/interview.py:57 via app/models/people/base.py:66
recruit	job_applicant	created_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_applicant.py:54 via app/models/people/base.py:61
recruit	job_applicant	referral_employee_id	hr	employee	employee_id	explicit	app/models/people/recruit/job_applicant.py:173
recruit	job_applicant	status_changed_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_applicant.py:54 via app/models/people/base.py:85
recruit	job_applicant	updated_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_applicant.py:54 via app/models/people/base.py:66
recruit	job_offer	converted_to_employee_id	hr	employee	employee_id	explicit	app/models/people/recruit/job_offer.py:203
recruit	job_offer	created_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_offer.py:53 via app/models/people/base.py:61
recruit	job_offer	status_changed_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_offer.py:53 via app/models/people/base.py:85
recruit	job_offer	updated_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_offer.py:53 via app/models/people/base.py:66
recruit	job_opening	created_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_opening.py:53 via app/models/people/base.py:61
recruit	job_opening	reports_to_id	hr	employee	employee_id	explicit	app/models/people/recruit/job_opening.py:120
recruit	job_opening	updated_by_id	public	people	id	mixin_expansion	app/models/people/recruit/job_opening.py:53 via app/models/people/base.py:66
scheduling	schedule_audit_event	actor_id	public	people	id	explicit	app/models/people/scheduling/work_schedule.py:217
scheduling	schedule_notification_log	employee_id	hr	employee	employee_id	explicit	app/models/people/scheduling/work_schedule.py:269
scheduling	scheduling_policy	created_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/work_schedule.py:148 via app/models/people/base.py:61
scheduling	scheduling_policy	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/work_schedule.py:148 via app/models/people/base.py:66
scheduling	shift_pattern	created_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/shift_pattern.py:44 via app/models/people/base.py:61
scheduling	shift_pattern	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/shift_pattern.py:44 via app/models/people/base.py:66
scheduling	shift_pattern_assignment	created_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/pattern_assignment.py:33 via app/models/people/base.py:61
scheduling	shift_pattern_assignment	employee_id	hr	employee	employee_id	explicit	app/models/people/scheduling/pattern_assignment.py:77
scheduling	shift_pattern_assignment	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/pattern_assignment.py:33 via app/models/people/base.py:66
scheduling	shift_schedule	created_by_id	hr	employee	employee_id	explicit	app/models/people/scheduling/shift_schedule.py:158
scheduling	shift_schedule	employee_id	hr	employee	employee_id	explicit	app/models/people/scheduling/shift_schedule.py:106
scheduling	shift_schedule	published_by_id	hr	employee	employee_id	explicit	app/models/people/scheduling/shift_schedule.py:169
scheduling	shift_schedule	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/shift_schedule.py:50 via app/models/people/base.py:66
scheduling	shift_swap_request	created_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/swap_request.py:43 via app/models/people/base.py:61
scheduling	shift_swap_request	requester_id	hr	employee	employee_id	explicit	app/models/people/scheduling/swap_request.py:104
scheduling	shift_swap_request	reviewed_by_id	hr	employee	employee_id	explicit	app/models/people/scheduling/swap_request.py:139
scheduling	shift_swap_request	target_employee_id	hr	employee	employee_id	explicit	app/models/people/scheduling/swap_request.py:110
scheduling	shift_swap_request	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/swap_request.py:43 via app/models/people/base.py:66
scheduling	work_schedule	approved_by_id	public	people	id	explicit	app/models/people/scheduling/work_schedule.py:115
scheduling	work_schedule	created_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/work_schedule.py:52 via app/models/people/base.py:61
scheduling	work_schedule	published_by_id	public	people	id	explicit	app/models/people/scheduling/work_schedule.py:121
scheduling	work_schedule	rejected_by_id	public	people	id	explicit	app/models/people/scheduling/work_schedule.py:127
scheduling	work_schedule	submitted_by_id	public	people	id	explicit	app/models/people/scheduling/work_schedule.py:109
scheduling	work_schedule	updated_by_id	public	people	id	mixin_expansion	app/models/people/scheduling/work_schedule.py:52 via app/models/people/base.py:66
support	support_team	lead_id	hr	employee	employee_id	explicit	app/models/support/team.py:85
support	support_team_member	employee_id	hr	employee	employee_id	explicit	app/models/support/team.py:182
support	ticket	assigned_to_id	hr	employee	employee_id	explicit	app/models/support/ticket.py:157
support	ticket	created_by_id	public	people	id	mixin_expansion	app/models/support/ticket.py:78 via app/models/people/base.py:61
support	ticket	raised_by_id	hr	employee	employee_id	explicit	app/models/support/ticket.py:146
